x0000,y0000,x0001,y0001
13.88,4.321488276,13.88,0.01986859149,
13.92,4.321488276,13.92,0.01986859149,
13.96,4.321488276,13.96,0.01986859149,
14,4.317486657,14,0.01986859149,
14.04,4.321488276,14.04,0.01986859149,
14.08,4.317486657,14.08,0.01986859149,
14.12,4.317486657,14.12,0.01986859149,
14.16,4.321488276,14.16,0.01986859149,
14.2,4.317486657,14.2,0.01986859149,
14.24,4.321488276,14.24,0.01986859149,
14.28,4.317486657,14.28,0.01986859149,
14.32,4.321488276,14.32,0.01986859149,
14.36,4.321488276,14.36,0.01986859149,
14.4,4.317486657,14.4,0.01986859149,
14.44,4.317486657,14.44,0.01986859149,
14.48,4.321488276,14.48,0.01986859149,
14.52,4.317486657,14.52,0.01986859149,
14.56,4.321488276,14.56,0.01986859149,
14.6,4.321488276,14.6,0.01986859149,
14.64,4.321488276,14.64,0.01986859149,
14.68,4.321488276,14.68,0.01986859149,
14.72,4.321488276,14.72,0.01986859149,
14.76,4.317486657,14.76,0.01986859149,
14.8,4.321488276,14.8,0.01986859149,
14.84,4.317486657,14.84,0.01986859149,
14.88,4.321488276,14.88,0.01986859149,
14.92,4.321488276,14.92,0.01986859149,
14.96,4.317486657,14.96,0.01986859149,
15,4.321488276,15,0.01986859149,
15.04,4.317486657,15.04,0.01986859149,
15.08,4.317486657,15.08,0.02386998582,
15.12,4.321488276,15.12,0.01986859149,
15.16,4.321488276,15.16,0.01986859149,
15.2,4.321488276,15.2,0.01986859149,
15.24,4.321488276,15.24,0.01986859149,
15.28,4.317486657,15.28,0.01986859149,
15.32,4.321488276,15.32,0.01986859149,
15.36,4.321488276,15.36,0.01986859149,
15.4,4.317486657,15.4,0.01986859149,
15.44,4.321488276,15.44,0.01986859149,
15.48,4.321488276,15.48,0.01986859149,
15.52,4.321488276,15.52,0.01986859149,
15.56,4.321488276,15.56,0.01986859149,
15.6,4.317486657,15.6,0.01986859149,
15.64,4.321488276,15.64,0.01986859149,
15.68,4.321488276,15.68,0.01986859149,
15.72,4.321488276,15.72,0.01986859149,
15.76,4.321488276,15.76,0.01986859149,
15.8,4.317486657,15.8,0.01986859149,
15.84,4.321488276,15.84,0.01986859149,
